Man admits store robbery, Edinburgh	 Man admits store robbery	14	55.9100811	-3.2347302	Colinton Mains Drive
Man convicted of culpable homicide of Roger Gray	 None	12	55.9345873	-3.2151694	Merchiston Crescent
Man jailed for murder, Scottish Borders	 Man jailed for murder	12	55.4152541	-2.7916308	Liddesdale Rd
Man pleads guilty to culpable homicide	 None	13	55.9656805	-3.2439714	Easter Drylaw Way
Man and Woman jailed for attacks	 None	15	55.942599	-3.2214644	Dalry Rd
Man arrested,assault	Assault	10	55.9597257	-3.2140138	Raeburn Mews
Man arrested,bogus caller	 None	8	55.9244931	-3.2561811	Redhall Crescent
Man arrested,Edinburgh	 None	10	55.93454	-3.2153124	Merchiston Crescent
Man arrested, alleged robbery	 Man arrested	8	55.9396064	-3.1855738	Gladstone Terrace
Man arrested, Edinburgh	 Man arrested	12	55.9554237	-3.2018214	Heriot Row
Man arrested, Edinburgh	 Man arrested	15	55.933134	-3.1274094	Niddrie Mains Rd
Man arrested, Edinburgh	 Man arrested	9	55.9266074	-3.1385789	Craigmillar Castle Rd
Man arrested for art gallery theft	 None	13	55.9558668	-3.2602162	Craigcrook Rd
Man arrested, Edinburgh	 Man arrested	12	55.9689274	-3.2447269	Ferry Rd Grove
Man arrested, Edinburgh	 Man arrested	10	55.9480952	-3.1977538	Johnston Terrace
Man arrested, Edinburgh	 Man arrested	11	55.8518009	-3.137546	Greenside Pl
Man arrested, Edinburgh	 Man arrested	12	55.9758865	-3.2033109	East Trinity Rd
