"(55.9551618, -3.1500499)",Jocks Lodge
"(55.9101981, -3.2745064)",Clovenstone Drive
"(55.99000299999999, -3.399045)",Plewlandcroft
"(55.9639597, -3.2405059)",Telford Drive
"(55.93209960000001, -3.1498076)",Peffermill Road
"(55.947812, -3.206608)",Lothian Road
"(55.9483678, -3.1588508)",Queen's Drive
"(55.94196489999999, -3.1819791)",Clerk Street
"(55.9360046, -3.4628793)",Aitken Orr Drive
"(55.8998314, -3.5008625)",Brisbane Street
"(55.9332212, -3.1062948)",Newcraighall Road
"(55.9373561, -3.1946248)",Marchmont Road
"(55.96078420000001, -3.293241)",Queensferry Road
"(55.93243159999999, -3.1953546)",Blackford Road
"(55.8963097, -3.7008009)",St Helens Place
"(55.95789929999999, -3.2717194)",Hillpark Grove
"(55.9707206, -3.1798763)",Bonnington Road
"(55.89377349999999, -3.5407298)",Follyburn Place
"(55.9601376, -3.2894505)",Parkgrove Street
"(55.9670621, -3.1570275)",Restalrig Road
"(55.9598872, -3.176081)",Elgin Street
"(55.8876431, -3.4569903)",Langton View
"(55.93857939999999, -3.1804529)",Blackwood Crescent
"(55.9755882, -3.2441072)",Granton Mains Avenue
"(55.94765400000001, -3.2134715)",West Maitland Street
"(55.9517081, -3.1981431)",Princes Street
"(55.9421699, -3.1099032)",Magdalene Medway
"(55.9114559, -3.2157247)",Pentland Gardens
"(55.9693188, -2.9633007)",Edinburgh Road
"(55.95337499999999, -3.1840972)",Regent Road
"(55.9486486, -3.212495)",Coates Crescent
"(55.9485226, -3.1780635)",Dumbiedykes Road
"(55.9623014, -2.9777101)",High Street
"(55.975815, -3.1737672)",Quayside Street
"(55.9455566, -3.1846324)",Nicolson Street
"(55.9712389, -3.2427176)",Ferry Road Drive
"(55.95786, -3.1824661)",Leopold Place
"(55.91475250000001, -3.2882726)",Westburn Park
"(55.9738467, -3.1746002)",Cables Wynd
"(55.9601373, -3.2438621)",Groathill Avenue
"(55.9741513, -3.2221914)",Boswall Terrace
"(55.9538862, -3.1159776)",Portobello High Street
"(55.9503241, -3.1778088)",Holyrood Road
"(55.9306402, -3.1225037)",Niddrie House Park
"(55.9507304, -3.1905036)",Market Street
"(55.9647247, -3.1734106)",Dalmeny Street
"(55.99598899999999, -2.5445386)",Edinburgh Road
"(55.8949365, -3.0628702)",Allan Terrace
"(55.9528867, -3.200388100000001)",Frederick Street
"(55.9971271, -3.4044431)",Forth Road Bridge
"(55.938415, -3.2260992)",Ardmillan Terrace
"(55.8984675, -3.6558134)",Bridgend Park
"(55.9699933, -3.334633)",Hillside Road
"(55.54856969999999, -2.7861388)",A699
"(55.9857722, -3.3849744)",Queensferry
"(55.92882609999999, -3.0394617)",Carberry Road
"(55.8520474, -3.5634523)",Harburn Drive
"(55.61629689999999, -3.0643023)",Traquair Road
"(55.9063348, -3.6428367)",Balbardie Avenue
"(41.63126339999999, -87.7006339)",Sawyer Avenue
"(55.94127289999999, -3.2533495)",Saughton Park
"(55.9437477, -2.9519306)",High Street
"(55.8799858, -3.1593416)",Mayburn Walk
"(55.9738555, -3.1856637)",Trafalgar Street
"(55.8702763, -3.0317879)",Steele Avenue
"(55.9119028, -3.4808103)",Drumshoreland Road
"(55.91679, -3.0761683)",Old Craighall Road
"(55.9121967, -3.2328947)",Firrhill Loan
"(55.94538499999999, -3.17978)",Brown Street
"(55.87640810000001, -3.1534854)",The Loan
"(55.8751758, -3.1552611)",Park View
"(55.7764408, -2.3310021)",Rachel Drive
"(55.9018923, -3.5792044)",Caputhall Road
"(56.036342, -2.827051)",Main Street
"(55.893655, -3.0694595)",Dalkeith
"(55.8445881, -3.6790236)",Main Street
"(55.959619, -3.2802681)",Clermiston Road North
"(55.9590102, -3.1926168)",London Street
"(55.95623209999999, -3.1905612)",Elder Street
"(55.8717, -3.04232)",Mayfield
"(55.9547073, -3.1139908)",Beach Lane
"(55.9497815, -3.1986501)",Castlehill
"(55.9593818, -3.1772797)",Montgomery Street
"(55.892724, -3.0691269)",Lothian Street
"(55.9633777, -2.9756599)",High Street
"(55.9429841, -3.2036663)",Home Street
"(55.9700845, -3.2536885)",Muirhouse Avenue
"(55.9536476, -3.2853442)",Ransome Gardens
"(55.9694665, -3.1446222)",Seafield Road
"(55.967992, -2.9682035)",Cockenzie
"(55.9331817, -3.2588513)",Stevenson Drive
"(55.9479285, -3.2026155)",King's Stables Road
